chip_peak_id	nearby_BCOR_in_adult	nearby_BCOR_in_P0
CRX.3	0	0
CRX.4	0	2
CRX.6	0	0
CRX.8	0	0
CRX.12	0	0
CRX.16	0	2
CRX.21	0	0
CRX.22	0	0
CRX.30	0	0
CRX.33	0	1
CRX.34	0	2
CRX.35	0	0
CRX.38	0	0
CRX.40	0	0
CRX.42	0	0
CRX.43	0	0
CRX.47	0	0
CRX.49	0	0
CRX.50	0	0
CRX.55	0	0
CRX.59	0	0
CRX.66	0	0
CRX.68	0	0
CRX.69	0	0
CRX.70	0	0
CRX.78	0	0
CRX.83	0	0
CRX.87	0	0
CRX.92	0	0
CRX.99	0	0
CRX.101	0	0
CRX.103	1	0
CRX.105	0	0
CRX.110	0	0
CRX.112	2	1
CRX.113	0	0
CRX.125	0	0
CRX.127	0	0
CRX.129	0	0
CRX.130	0	0
CRX.131	0	0
CRX.132	0	0
CRX.134	0	0
CRX.143	0	0
CRX.155	0	0
CRX.157	0	1
CRX.160	0	0
CRX.168	0	0
CRX.175	0	0
CRX.178	1	1
CRX.179	0	0
CRX.180	0	0
CRX.182	0	0
CRX.185	0	0
CRX.191	1	2
CRX.194	2	2
CRX.199	2	2
CRX.204	0	0
CRX.205	0	0
CRX.210	0	2
CRX.218	0	0
CRX.220	0	0
CRX.223	0	0
CRX.228	0	0
CRX.235	0	0
CRX.236	0	0
CRX.237	0	0
CRX.240	0	0
CRX.241	0	0
CRX.247	0	0
CRX.250	0	0
CRX.251	1	0
CRX.257	0	0
CRX.261	0	0
CRX.262	0	0
CRX.266	1	2
CRX.267	0	0
CRX.269	0	0
CRX.273	2	1
CRX.276	0	0
CRX.277	0	0
CRX.278	0	0
CRX.279	0	0
CRX.280	0	0
CRX.285	2	2
CRX.286	0	1
CRX.288	0	0
CRX.289	0	0
CRX.290	0	0
CRX.291	1	0
CRX.300	1	1
CRX.306	0	0
CRX.312	0	0
CRX.313	1	2
CRX.315	2	0
CRX.316	0	0
CRX.324	0	0
CRX.325	2	2
CRX.327	0	0
CRX.328	1	0
CRX.330	0	0
CRX.331	1	0
CRX.332	0	0
CRX.333	2	1
CRX.336	0	1
CRX.337	0	0
CRX.339	0	0
CRX.340	0	0
CRX.341	0	0
CRX.342	0	0
CRX.343	1	0
CRX.348	0	0
CRX.353	1	2
CRX.354	0	0
CRX.359	0	0
CRX.364	0	0
CRX.367	0	0
CRX.369	0	0
CRX.370	0	0
CRX.371	0	0
CRX.377	0	0
CRX.379	0	0
CRX.381	2	0
CRX.385	0	0
CRX.394	1	0
CRX.395	1	0
CRX.400	0	0
CRX.402	0	0
CRX.403	0	2
CRX.405	0	0
CRX.416	0	0
CRX.420	0	0
CRX.423	2	0
CRX.431	0	0
CRX.434	0	0
CRX.435	2	2
CRX.437	0	0
CRX.443	0	0
CRX.444	0	0
CRX.446	0	0
CRX.449	0	0
CRX.451	0	0
CRX.458	0	0
CRX.461	0	2
CRX.462	0	0
CRX.471	0	2
CRX.476	0	0
CRX.477	0	0
CRX.478	0	0
CRX.479	0	0
CRX.481	0	0
CRX.482	0	0
CRX.483	0	0
CRX.487	1	0
CRX.488	0	0
CRX.489	1	0
CRX.493	2	0
CRX.495	0	0
CRX.496	0	0
CRX.497	0	0
CRX.503	0	0
CRX.506	0	0
CRX.507	0	0
CRX.516	0	0
CRX.521	0	0
CRX.522	0	0
CRX.527	0	1
CRX.535	1	0
CRX.541	0	0
CRX.544	0	0
CRX.550	0	0
CRX.555	0	0
CRX.561	2	2
CRX.564	2	0
CRX.566	2	2
CRX.581	0	0
CRX.586	0	0
CRX.588	0	0
CRX.589	0	0
CRX.592	0	2
CRX.594	0	0
CRX.603	1	0
CRX.606	0	0
CRX.610	1	2
CRX.614	0	0
CRX.615	1	0
CRX.620	0	0
CRX.626	0	0
CRX.639	0	0
CRX.641	1	0
CRX.646	0	0
CRX.647	0	0
CRX.653	0	0
CRX.654	0	0
CRX.659	1	0
CRX.663	0	0
CRX.671	2	2
CRX.673	0	0
CRX.674	0	0
CRX.680	0	0
CRX.685	0	1
CRX.688	0	0
CRX.689	0	0
CRX.690	0	0
CRX.707	0	0
CRX.709	0	0
CRX.714	0	0
CRX.715	0	0
CRX.717	0	0
CRX.721	0	0
CRX.722	0	0
CRX.724	0	0
CRX.726	0	0
CRX.730	0	0
CRX.732	0	0
CRX.739	0	0
CRX.740	0	0
CRX.743	0	0
CRX.753	0	0
CRX.758	0	0
CRX.771	0	1
CRX.773	0	0
CRX.780	0	0
CRX.785	0	0
CRX.792	2	2
CRX.799	0	2
CRX.800	2	1
CRX.803	2	2
CRX.811	2	1
CRX.814	0	0
CRX.817	0	0
CRX.826	0	0
CRX.829	0	0
CRX.843	0	0
CRX.846	0	0
CRX.851	0	0
CRX.858	0	0
CRX.859	1	0
CRX.860	0	0
CRX.863	0	0
CRX.867	0	0
CRX.868	0	0
CRX.872	0	0
CRX.874	0	0
CRX.877	2	2
CRX.890	0	0
CRX.893	0	0
CRX.898	0	0
CRX.900	0	2
CRX.904	0	0
CRX.907	2	2
CRX.910	0	0
CRX.916	0	0
CRX.919	0	0
CRX.923	0	0
CRX.924	1	1
CRX.925	1	1
CRX.935	0	0
