chip_peak_id	nearby_BCOR_peak_id
CRX.103	BCOR_2_Adult_Trimmed_peak_34
CRX.112	BCOR_1_Adult_Trimmed_peak_23
CRX.112	BCOR_2_Adult_Trimmed_peak_41
CRX.178	BCOR_2_Adult_Trimmed_peak_62
CRX.191	BCOR_2_Adult_Trimmed_peak_68
CRX.194	BCOR_1_Adult_Trimmed_peak_44
CRX.194	BCOR_2_Adult_Trimmed_peak_70
CRX.199	BCOR_1_Adult_Trimmed_peak_46
CRX.199	BCOR_2_Adult_Trimmed_peak_72
CRX.251	BCOR_1_Adult_Trimmed_peak_50
CRX.266	BCOR_2_Adult_Trimmed_peak_91
CRX.273	BCOR_1_Adult_Trimmed_peak_55
CRX.273	BCOR_2_Adult_Trimmed_peak_95
CRX.285	BCOR_1_Adult_Trimmed_peak_58
CRX.285	BCOR_2_Adult_Trimmed_peak_107
CRX.291	BCOR_1_Adult_Trimmed_peak_61
CRX.300	BCOR_2_Adult_Trimmed_peak_113
CRX.313	BCOR_2_Adult_Trimmed_peak_117
CRX.315	BCOR_1_Adult_Trimmed_peak_63
CRX.315	BCOR_2_Adult_Trimmed_peak_119
CRX.325	BCOR_1_Adult_Trimmed_peak_69
CRX.325	BCOR_2_Adult_Trimmed_peak_127
CRX.328	BCOR_2_Adult_Trimmed_peak_130
CRX.331	BCOR_2_Adult_Trimmed_peak_131
CRX.333	BCOR_1_Adult_Trimmed_peak_72
CRX.333	BCOR_2_Adult_Trimmed_peak_132
CRX.343	BCOR_2_Adult_Trimmed_peak_134
CRX.353	BCOR_2_Adult_Trimmed_peak_141
CRX.381	BCOR_1_Adult_Trimmed_peak_80
CRX.381	BCOR_2_Adult_Trimmed_peak_148
CRX.394	BCOR_2_Adult_Trimmed_peak_152
CRX.395	BCOR_1_Adult_Trimmed_peak_84
CRX.423	BCOR_1_Adult_Trimmed_peak_88
CRX.423	BCOR_2_Adult_Trimmed_peak_161
CRX.435	BCOR_1_Adult_Trimmed_peak_93
CRX.435	BCOR_2_Adult_Trimmed_peak_167
CRX.487	BCOR_2_Adult_Trimmed_peak_178
CRX.489	BCOR_2_Adult_Trimmed_peak_179
CRX.493	BCOR_1_Adult_Trimmed_peak_103
CRX.493	BCOR_2_Adult_Trimmed_peak_184
CRX.535	BCOR_2_Adult_Trimmed_peak_198
CRX.561	BCOR_1_Adult_Trimmed_peak_125
CRX.561	BCOR_2_Adult_Trimmed_peak_216
CRX.564	BCOR_1_Adult_Trimmed_peak_127
CRX.564	BCOR_2_Adult_Trimmed_peak_218
CRX.566	BCOR_1_Adult_Trimmed_peak_129
CRX.566	BCOR_2_Adult_Trimmed_peak_221
CRX.603	BCOR_1_Adult_Trimmed_peak_149
CRX.610	BCOR_1_Adult_Trimmed_peak_152
CRX.615	BCOR_1_Adult_Trimmed_peak_154
CRX.641	BCOR_2_Adult_Trimmed_peak_261
CRX.659	BCOR_2_Adult_Trimmed_peak_265
CRX.671	BCOR_1_Adult_Trimmed_peak_160
CRX.671	BCOR_2_Adult_Trimmed_peak_268
CRX.792	BCOR_1_Adult_Trimmed_peak_187
CRX.792	BCOR_2_Adult_Trimmed_peak_316
CRX.800	BCOR_1_Adult_Trimmed_peak_189
CRX.800	BCOR_2_Adult_Trimmed_peak_317
CRX.803	BCOR_1_Adult_Trimmed_peak_190
CRX.803	BCOR_2_Adult_Trimmed_peak_318
CRX.811	BCOR_1_Adult_Trimmed_peak_192
CRX.811	BCOR_2_Adult_Trimmed_peak_321
CRX.859	BCOR_2_Adult_Trimmed_peak_346
CRX.877	BCOR_1_Adult_Trimmed_peak_203
CRX.877	BCOR_2_Adult_Trimmed_peak_349
CRX.907	BCOR_1_Adult_Trimmed_peak_210
CRX.907	BCOR_2_Adult_Trimmed_peak_364
CRX.924	BCOR_2_Adult_Trimmed_peak_370
CRX.925	BCOR_2_Adult_Trimmed_peak_370
CRX.953	BCOR_1_Adult_Trimmed_peak_224
CRX.953	BCOR_2_Adult_Trimmed_peak_386
CRX.967	BCOR_2_Adult_Trimmed_peak_390
CRX.1011	BCOR_2_Adult_Trimmed_peak_410
CRX.1058	BCOR_1_Adult_Trimmed_peak_250
CRX.1058	BCOR_2_Adult_Trimmed_peak_427
CRX.1063	BCOR_2_Adult_Trimmed_peak_430
CRX.1076	BCOR_2_Adult_Trimmed_peak_438
CRX.1077	BCOR_1_Adult_Trimmed_peak_258
CRX.1087	BCOR_2_Adult_Trimmed_peak_445
CRX.1158	BCOR_2_Adult_Trimmed_peak_472
CRX.1160	BCOR_1_Adult_Trimmed_peak_277
CRX.1212	BCOR_1_Adult_Trimmed_peak_294
CRX.1212	BCOR_2_Adult_Trimmed_peak_502
CRX.1224	BCOR_2_Adult_Trimmed_peak_510
CRX.1281	BCOR_2_Adult_Trimmed_peak_527
CRX.1313	BCOR_2_Adult_Trimmed_peak_538
CRX.1330	BCOR_2_Adult_Trimmed_peak_546
CRX.1350	BCOR_2_Adult_Trimmed_peak_552
CRX.1358	BCOR_2_Adult_Trimmed_peak_557
CRX.1372	BCOR_1_Adult_Trimmed_peak_321
CRX.1398	BCOR_2_Adult_Trimmed_peak_576
CRX.1407	BCOR_2_Adult_Trimmed_peak_583
CRX.1421	BCOR_1_Adult_Trimmed_peak_327
CRX.1421	BCOR_2_Adult_Trimmed_peak_588
CRX.1426	BCOR_1_Adult_Trimmed_peak_328
CRX.1426	BCOR_2_Adult_Trimmed_peak_590
CRX.1431	BCOR_2_Adult_Trimmed_peak_593
CRX.1473	BCOR_1_Adult_Trimmed_peak_336
CRX.1529	BCOR_2_Adult_Trimmed_peak_637
CRX.1557	BCOR_2_Adult_Trimmed_peak_645
CRX.1579	BCOR_2_Adult_Trimmed_peak_652
CRX.1588	BCOR_2_Adult_Trimmed_peak_656
CRX.1593	BCOR_1_Adult_Trimmed_peak_361
CRX.1593	BCOR_2_Adult_Trimmed_peak_658
CRX.1605	BCOR_1_Adult_Trimmed_peak_364
CRX.1605	BCOR_2_Adult_Trimmed_peak_663
CRX.1633	BCOR_1_Adult_Trimmed_peak_379
CRX.1633	BCOR_2_Adult_Trimmed_peak_676
CRX.1671	BCOR_1_Adult_Trimmed_peak_388
CRX.1671	BCOR_2_Adult_Trimmed_peak_699
CRX.1703	BCOR_1_Adult_Trimmed_peak_391
CRX.1703	BCOR_2_Adult_Trimmed_peak_701
CRX.1711	BCOR_2_Adult_Trimmed_peak_704
CRX.1716	BCOR_2_Adult_Trimmed_peak_705
CRX.1719	BCOR_2_Adult_Trimmed_peak_706
CRX.1763	BCOR_2_Adult_Trimmed_peak_719
CRX.1768	BCOR_2_Adult_Trimmed_peak_722
CRX.1782	BCOR_1_Adult_Trimmed_peak_398
CRX.1782	BCOR_2_Adult_Trimmed_peak_724
CRX.1787	BCOR_2_Adult_Trimmed_peak_726
CRX.1793	BCOR_1_Adult_Trimmed_peak_401
CRX.1793	BCOR_2_Adult_Trimmed_peak_730
CRX.1796	BCOR_2_Adult_Trimmed_peak_731
CRX.1823	BCOR_1_Adult_Trimmed_peak_406
CRX.1823	BCOR_2_Adult_Trimmed_peak_739
CRX.1836	BCOR_2_Adult_Trimmed_peak_742
CRX.1857	BCOR_1_Adult_Trimmed_peak_413
CRX.1857	BCOR_2_Adult_Trimmed_peak_746
CRX.1874	BCOR_2_Adult_Trimmed_peak_751
CRX.1917	BCOR_1_Adult_Trimmed_peak_424
CRX.1917	BCOR_2_Adult_Trimmed_peak_764
CRX.1920	BCOR_2_Adult_Trimmed_peak_770
CRX.1944	BCOR_2_Adult_Trimmed_peak_780
CRX.1946	BCOR_1_Adult_Trimmed_peak_430
CRX.1946	BCOR_2_Adult_Trimmed_peak_781
CRX.1947	BCOR_1_Adult_Trimmed_peak_430
CRX.1947	BCOR_2_Adult_Trimmed_peak_781
CRX.1956	BCOR_1_Adult_Trimmed_peak_434
CRX.1963	BCOR_2_Adult_Trimmed_peak_790
CRX.1974	BCOR_2_Adult_Trimmed_peak_796
CRX.2000	BCOR_2_Adult_Trimmed_peak_802
CRX.2018	BCOR_2_Adult_Trimmed_peak_808
CRX.2071	BCOR_2_Adult_Trimmed_peak_817
CRX.2108	BCOR_2_Adult_Trimmed_peak_832
CRX.2158	BCOR_2_Adult_Trimmed_peak_856
CRX.2175	BCOR_2_Adult_Trimmed_peak_861
CRX.2180	BCOR_1_Adult_Trimmed_peak_470
CRX.2181	BCOR_1_Adult_Trimmed_peak_471
CRX.2181	BCOR_2_Adult_Trimmed_peak_863
CRX.2198	BCOR_1_Adult_Trimmed_peak_475
