chip_peak_id	nearby_BCOR_peak_id
CRX.4	BCOR_1_P0_peak_2
CRX.4	BCOR_2_P0_peak_3
CRX.16	BCOR_1_P0_peak_11
CRX.16	BCOR_2_P0_peak_20
CRX.33	BCOR_2_P0_peak_53
CRX.34	BCOR_1_P0_peak_43
CRX.34	BCOR_2_P0_peak_68
CRX.112	BCOR_1_P0_peak_107
CRX.157	BCOR_1_P0_peak_145
CRX.178	BCOR_2_P0_peak_291
CRX.191	BCOR_1_P0_peak_184
CRX.191	BCOR_2_P0_peak_313
CRX.194	BCOR_1_P0_peak_189
CRX.194	BCOR_2_P0_peak_322
CRX.199	BCOR_1_P0_peak_191
CRX.199	BCOR_2_P0_peak_326
CRX.210	BCOR_1_P0_peak_203
CRX.210	BCOR_2_P0_peak_346
CRX.266	BCOR_1_P0_peak_235
CRX.266	BCOR_2_P0_peak_403
CRX.273	BCOR_2_P0_peak_412
CRX.285	BCOR_1_P0_peak_251
CRX.285	BCOR_2_P0_peak_430
CRX.286	BCOR_2_P0_peak_436
CRX.300	BCOR_2_P0_peak_465
CRX.313	BCOR_1_P0_peak_271
CRX.313	BCOR_2_P0_peak_475
CRX.325	BCOR_1_P0_peak_282
CRX.325	BCOR_2_P0_peak_491
CRX.333	BCOR_2_P0_peak_501
CRX.336	BCOR_2_P0_peak_502
CRX.353	BCOR_1_P0_peak_310
CRX.353	BCOR_2_P0_peak_540
CRX.403	BCOR_1_P0_peak_332
CRX.403	BCOR_2_P0_peak_585
CRX.435	BCOR_1_P0_peak_355
CRX.435	BCOR_2_P0_peak_627
CRX.461	BCOR_1_P0_peak_374
CRX.461	BCOR_2_P0_peak_660
CRX.471	BCOR_1_P0_peak_383
CRX.471	BCOR_2_P0_peak_683
CRX.527	BCOR_2_P0_peak_733
CRX.561	BCOR_1_P0_peak_457
CRX.561	BCOR_2_P0_peak_788
CRX.566	BCOR_1_P0_peak_460
CRX.566	BCOR_2_P0_peak_791
CRX.592	BCOR_1_P0_peak_494
CRX.592	BCOR_2_P0_peak_839
CRX.610	BCOR_1_P0_peak_522
CRX.610	BCOR_2_P0_peak_884
CRX.671	BCOR_1_P0_peak_551
CRX.671	BCOR_2_P0_peak_951
CRX.685	BCOR_1_P0_peak_562
CRX.771	BCOR_2_P0_peak_1110
CRX.792	BCOR_1_P0_peak_658
