gene_name	enrichment
Hspa1b	rod
Susd3	rod
Samd7	rod
Pdc	rod
Ric8b	rod
Smug1	cone
Plekhf2	rod
Gm5460	rod
Ece1	cone
Clpb	cone
Spry1	cone
Svip	cone
Rp1	rod
Glo1	cone
Kcnj14	rod
Prdm1	cone
Ccdc126	rod
Ap2a2	rod
Spata1	rod
Herc3	rod
Gulo	cone
Guca1b	rod
Ppargc1b	rod
Zdhhc14	cone
Reep6	rod
Pdia5	rod
Mknk1	rod
Cdan1	rod
Gnat1	rod
Cst3	rod
Igsf3	cone
Ip6k2	cone
Pgs1	cone
Galnt7	rod
Sntb2	rod
Spg7	rod
Fam3c	rod
Usp46	cone
Tspan9	cone
Plekhg3	rod
Pygm	cone
Crb2	rod
St3gal3	cone
Syne2	rod
Clic4	cone
Nr2e3	rod
Faah	rod
Prph2	rod
Nr4a1	cone
Chst3	rod
Fscn2	rod
Kcnv2	rod
Epas1	rod
Rdh12	rod
Plekha2	rod
Eno1	rod
Dixdc1	cone
Insm2	cone
Parvg	cone
Rcvrn	rod
Arhgap31	cone
Olfm1	cone
Ptpru	rod
Sec14l2	rod
Bmp2k	cone
Optn	rod
Rho	rod
Heatr5a	rod
Zfand3	cone
Ednrb	cone
Ypel2	rod
Lrfn2	cone
Pnpla3	cone
Rgs22	cone
Hipk3	rod
Slc38a1	cone
Hr	cone
Ttc39c	rod
Mrpl19	cone
Adrb1	cone
Harbi1	cone
Maf	cone
Nhlrc2	cone
Grtp1	rod
Lmo1	rod
Igsf21	cone
Slc1a7	cone
Cerkl	cone
Abca4	rod
Btg2	cone
Ndrg1	rod
Pcdh15	cone
Opn1mw	cone
Zfp36l2	rod
Esrrb	rod
Pde6g	rod
Klhl36	rod
Asrgl1	rod
Kpna2	rod
Gadd45a	rod
Sdc3	rod
Dll1	cone
Crispld2	rod
St3gal1	rod
Akap1	rod
Nfasc	rod
Plec	cone
B4galt1	rod
Rabgef1	rod
Cep164	rod
Scn4a	rod
Elk3	cone
Plekhb1	cone
Gnb3	cone
Stat3	cone
Aqp1	rod
Rtn4rl2	cone
Mef2c	rod
Reep4	cone
Taok3	rod
Wdr59	rod
Zfyve28	rod
Rerg	cone
Arhgap10	rod
Mylk	cone
Elovl2	cone
Elfn2	cone
Tnfaip3	rod
Ppara	rod
Med13l	rod
Thoc5	rod
Pde6a	rod
Gmppa	cone
Dpf3	rod
Gngt2	cone
Marveld3	rod
Cckbr	cone
Trim36	rod
Frmpd1	rod
Vtn	rod
Glb1l2	rod
Tmsb10	cone
Slc17a3	rod
Ramp3	rod
Pard6b	cone
Kirrel	rod
