genotype	source_molecule	library	replicate	sequencing_group
WT	RNA	rho	1	1
WT	RNA	rho	2	1
WT	RNA	rho	3	1
WT	RNA	rho	1	2
WT	RNA	rho	2	2
WT	RNA	rho	3	2
Rhet	RNA	rho	1	4
Rhet	RNA	rho	2	4
Rhet	RNA	rho	3	4
Ehet	RNA	rho	1	1
Ehet	RNA	rho	2	1
Ehet	RNA	rho	3	1
Ehet	RNA	rho	1	2
Ehet	RNA	rho	2	2
Ehet	RNA	rho	3	2
Rhom	RNA	rho	1	4
Rhom	RNA	rho	2	4
Rhom	RNA	rho	3	4
Ehom	RNA	rho	1	1
Ehom	RNA	rho	2	1
Ehom	RNA	rho	3	1
Ehom	RNA	rho	1	2
Ehom	RNA	rho	2	2
Ehom	RNA	rho	3	2
CrxKO	RNA	rho	1	1
CrxKO	RNA	rho	2	1
CrxKO	RNA	rho	3	1
CrxKO	RNA	rho	1	2
CrxKO	RNA	rho	2	2
CrxKO	RNA	rho	3	2
Plasmid	DNA	rho	1	1
Plasmid	DNA	rho	1	2
Plasmid	DNA	rho	1	4
WT	RNA	hsp68	1	3
WT	RNA	hsp68	2	3
WT	RNA	hsp68	3	3
Rhet	RNA	hsp68	3	3
Rhet	RNA	hsp68	1	3
Rhet	RNA	hsp68	2	3
Ehet	RNA	hsp68	1	3
Ehet	RNA	hsp68	2	3
Ehet	RNA	hsp68	3	3
Rhom	RNA	hsp68	1	3
Rhom	RNA	hsp68	2	3
Rhom	RNA	hsp68	3	3
Ehom	RNA	hsp68	1	3
Ehom	RNA	hsp68	2	3
Ehom	RNA	hsp68	3	3
CrxKO	RNA	hsp68	1	3
CrxKO	RNA	hsp68	2	3
CrxKO	RNA	hsp68	3	3
Plasmid	DNA	hsp68	1	3
