chip_peak_id	chip_peak_start	chip_peak_stop	nearby_ensembl_gene_id	nearby_gene_name	nearby_gene_tss
CRX.3	4453976	4454140	ENSMUSG00000025900.14	Rp1	4430537
CRX.4	4927867	4928031	ENSMUSG00000033845.14	Mrpl15	4855962
CRX.4	4927867	4928031	ENSMUSG00000025903.15	Lypla1	4878046
CRX.4	4927867	4928031	ENSMUSG00000104217.2	Gm37988	4878115
CRX.4	4927867	4928031	ENSMUSG00000033813.16	Tcea1	4928261
CRX.6	5140485	5140649	ENSMUSG00000002459.18	Rgs20	5140508
CRX.6	5140485	5140649	ENSMUSG00000033793.13	Atp6v1h	5153303
CRX.8	10079329	10079493	ENSMUSG00000099032.3	Tcf24	10038157
CRX.8	10079329	10079493	ENSMUSG00000025916.11	Ppp1r42	10079361
CRX.8	10079329	10079493	ENSMUSG00000025917.10	Cops5	10108352
CRX.8	10079329	10079493	ENSMUSG00000056763.17	Cspp1	10108442
CRX.12	13730773	13730937	ENSMUSG00000025935.11	Tram1	13660134
CRX.12	13730773	13730937	ENSMUSG00000025937.7	Lactb2	13730770
CRX.12	13730773	13730937	ENSMUSG00000067813.4	Xkr9	13738995
CRX.16	16727259	16727423	ENSMUSG00000025939.20	Ube2w	16689536
CRX.16	16727259	16727423	ENSMUSG00000079658.10	Eloc	16727262
CRX.16	16727259	16727423	ENSMUSG00000025940.7	Tmem70	16735431
CRX.16	16727259	16727423	ENSMUSG00000025779.11	Ly96	16758657
CRX.30	36531651	36531815	ENSMUSG00000001143.14	Lman2l	36484352
CRX.30	36531651	36531815	ENSMUSG00000037408.11	Cnnm4	36510701
CRX.30	36531651	36531815	ENSMUSG00000001138.14	Cnnm3	36550948
CRX.30	36531651	36531815	ENSMUSG00000067653.13	Ankrd23	36574820
CRX.30	36531651	36531815	ENSMUSG00000109510.2	Gm42417	36578439
CRX.30	36531651	36531815	ENSMUSG00000079610.10	Ankrd39	36586526
CRX.30	36531651	36531815	ENSMUSG00000026121.14	Sema4c	36596607
CRX.33	36749128	36749292	ENSMUSG00000046337.18	Fam178b	36722264
CRX.33	36749128	36749292	ENSMUSG00000061518.12	Cox5b	36730565
CRX.33	36749128	36749292	ENSMUSG00000037351.10	Actr1b	36749089
CRX.33	36749128	36749292	ENSMUSG00000102416.5	4933424G06Rik	36753619
CRX.33	36749128	36749292	ENSMUSG00000026117.11	Zap70	36800879
CRX.34	39406744	39406908	ENSMUSG00000073702.12	Rpl31	39406959
CRX.35	39470927	39471091	ENSMUSG00000073702.12	Rpl31	39406959
CRX.35	39470927	39471091	ENSMUSG00000003134.11	Tbc1d8	39517836
CRX.38	39489034	39489198	ENSMUSG00000073702.12	Rpl31	39406959
CRX.38	39489034	39489198	ENSMUSG00000003134.11	Tbc1d8	39517836
CRX.38	39489034	39489198	ENSMUSG00000003135.16	Cnot11	39574073
CRX.40	39513298	39513462	ENSMUSG00000003134.11	Tbc1d8	39517836
CRX.40	39513298	39513462	ENSMUSG00000003135.16	Cnot11	39574073
CRX.42	39975808	39975972	ENSMUSG00000026074.16	Map4k4	39940073
CRX.43	43211089	43211253	ENSMUSG00000070939.10	Tgfbrap1	43137782
CRX.43	43211089	43211253	ENSMUSG00000010290.8	AI597479	43137870
CRX.43	43211089	43211253	ENSMUSG00000008136.15	Fhl2	43203121
CRX.47	44630986	44631150	ENSMUSG00000056870.10	Gulp1	44590853
CRX.49	51517515	51517679	ENSMUSG00000026107.12	Nabp1	51517558
CRX.55	53265373	53265537	ENSMUSG00000060715.10	1700019A02Rik	53226767
CRX.55	53265373	53265537	ENSMUSG00000026098.14	Pms1	53336177
CRX.55	53265373	53265537	ENSMUSG00000026097.10	Ormdl1	53336254
CRX.55	53265373	53265537	ENSMUSG00000100679.3	Gm28778	53336270
CRX.55	53265373	53265537	ENSMUSG00000026096.15	Osgepl1	53352822
CRX.59	54899146	54899310	ENSMUSG00000052331.15	Ankrd44	54965546
CRX.66	59000772	59000936	ENSMUSG00000026028.13	Trak2	59012589
CRX.66	59000772	59000936	ENSMUSG00000026027.14	Stradb	59012681
CRX.68	59156733	59156897	ENSMUSG00000072295.8	C2cd6	59134052
CRX.68	59156733	59156897	ENSMUSG00000038079.15	Tmem237	59159541
CRX.68	59156733	59156897	ENSMUSG00000079550.10	Mpp4	59202548
CRX.69	59183754	59183918	ENSMUSG00000072295.8	C2cd6	59134052
CRX.69	59183754	59183918	ENSMUSG00000038079.15	Tmem237	59159541
CRX.69	59183754	59183918	ENSMUSG00000079550.10	Mpp4	59202548
CRX.69	59183754	59183918	ENSMUSG00000026024.15	Als2	59276390
CRX.70	59200728	59200892	ENSMUSG00000072295.8	C2cd6	59134052
CRX.70	59200728	59200892	ENSMUSG00000038079.15	Tmem237	59159541
CRX.70	59200728	59200892	ENSMUSG00000079550.10	Mpp4	59202548
CRX.70	59200728	59200892	ENSMUSG00000026024.15	Als2	59276390
CRX.70	59200728	59200892	ENSMUSG00000026023.17	Cdk15	59296065
CRX.83	64984604	64984768	ENSMUSG00000051344.14	Plekhm3	64995983
CRX.83	64984604	64984768	ENSMUSG00000025955.14	Akr1cl	65071918
CRX.87	65218273	65218437	ENSMUSG00000073658.5	Crygb	65121447
CRX.87	65218273	65218437	ENSMUSG00000044429.9	Cryga	65142532
CRX.87	65218273	65218437	ENSMUSG00000100846.2	Gm28845	65158717
CRX.87	65218273	65218437	ENSMUSG00000044816.11	D630023F18Rik	65162352
CRX.87	65218273	65218437	ENSMUSG00000025950.17	Idh1	65218340
CRX.87	65218273	65218437	ENSMUSG00000025949.17	Pikfyve	65225909
CRX.92	66821637	66821801	ENSMUSG00000026005.16	Rpe	66739990
CRX.92	66821637	66821801	ENSMUSG00000026004.16	Kansl1l	66856705
CRX.92	66821637	66821801	ENSMUSG00000026003.6	Acadl	66902436
CRX.99	72787774	72787938	ENSMUSG00000039342.6	Ankar	72739723
CRX.99	72787774	72787938	ENSMUSG00000046330.11	Rpl37a	72750449
CRX.99	72787774	72787938	ENSMUSG00000039323.19	Igfbp2	72863662
CRX.101	74334693	74334857	ENSMUSG00000006304.15	Arpc2	74275656
